customer_id,signup_date,plan,marketing_channel,country,churn_date
69,2022-01-08,Pro,LinkedIn,Other,2023-06-24
70,2022-01-08,Pro,Facebook Ads,Japan,2022-02-05
71,2022-01-08,Pro,SEO,Germany,2022-06-18
72,2022-01-08,Basic,SEO,Germany,2022-02-19
73,2022-01-08,Pro,Facebook Ads,Canada,2023-12-30
74,2022-01-08,Basic,Google Ads,Brazil,2022-12-24
75,2022-01-08,Basic,LinkedIn,USA,2022-05-28
76,2022-01-08,Basic,SEO,Other,2022-01-29
77,2022-01-08,Basic,Google Ads,Germany,2022-05-21
78,2022-01-08,Basic,Google Ads,Canada,2022-05-28
79,2022-01-08,Basic,LinkedIn,Brazil,2023-04-29
80,2022-01-08,Pro,Facebook Ads,Brazil,2023-01-07
81,2022-01-08,Basic,Facebook Ads,Germany,2024-03-09
82,2022-01-08,Basic,Google Ads,France,2022-08-27
83,2022-01-08,Pro,LinkedIn,Canada,2022-02-19
84,2022-01-08,Basic,SEO,Japan,2023-04-01
85,2022-01-08,Pro,Facebook Ads,Canada,2023-06-10
86,2022-01-08,Pro,Google Ads,USA,2022-10-29
87,2022-01-08,Basic,Google Ads,UK,2023-06-24
88,2022-01-08,Basic,Google Ads,USA,2022-09-10
89,2022-01-08,Pro,Facebook Ads,France,2022-10-01
90,2022-01-08,Enterprise,Facebook Ads,India,2022-07-30
91,2022-01-08,Basic,Facebook Ads,Australia,2022-01-15
92,2022-01-08,Enterprise,SEO,India,2022-02-12
93,2022-01-08,Pro,SEO,USA,2022-01-15
94,2022-01-08,Basic,LinkedIn,Canada,2023-01-07
95,2022-01-08,Pro,LinkedIn,Other,2022-05-21
96,2022-01-08,Basic,LinkedIn,UK,2022-09-17
97,2022-01-08,Basic,Facebook Ads,Other,2024-05-18
98,2022-01-08,Pro,LinkedIn,Germany,2022-04-16
99,2022-01-08,Enterprise,SEO,Australia,2022-07-16
100,2022-01-08,Enterprise,SEO,USA,2023-06-03
101,2022-01-08,Basic,Facebook Ads,Japan,2022-04-09
102,2022-01-08,Pro,LinkedIn,Germany,2022-02-05
103,2022-01-08,Enterprise,LinkedIn,Japan,2022-05-07
104,2022-01-08,Pro,SEO,Other,2022-03-12
105,2022-01-08,Basic,SEO,Japan,2024-08-31
106,2022-01-08,Basic,SEO,Germany,2023-08-26
107,2022-01-08,Basic,Facebook Ads,Germany,2023-01-07
108,2022-01-08,Basic,LinkedIn,Australia,2024-01-20
109,2022-01-08,Basic,SEO,Brazil,2023-08-19
110,2022-01-08,Basic,SEO,Japan,2022-03-19
111,2022-01-08,Pro,SEO,UK,2024-03-30
112,2022-01-08,Enterprise,LinkedIn,Japan,2022-10-15
113,2022-01-15,Pro,SEO,Canada,2022-04-16
114,2022-01-15,Basic,LinkedIn,France,2022-07-30
115,2022-01-15,Pro,Facebook Ads,USA,2023-09-23
116,2022-01-15,Pro,LinkedIn,Brazil,2023-12-30
117,2022-01-15,Pro,Facebook Ads,Brazil,2022-01-15
118,2022-01-15,Pro,Facebook Ads,Australia,2022-10-01
119,2022-01-15,Pro,Facebook Ads,Australia,2022-07-30
120,2022-01-15,Basic,SEO,Germany,2022-04-16
121,2022-01-15,Basic,LinkedIn,Canada,2022-02-26
122,2022-01-15,Basic,LinkedIn,USA,2022-06-11
123,2022-01-15,Basic,LinkedIn,Other,2024-11-16
124,2022-01-15,Pro,SEO,France,2022-06-04
125,2022-01-15,Basic,Facebook Ads,Australia,2022-10-08
126,2022-01-15,Basic,Google Ads,India,2023-04-01
127,2022-01-15,Basic,SEO,India,2022-06-25
128,2022-01-15,Basic,SEO,Germany,2025-08-02
129,2022-01-15,Basic,LinkedIn,USA,
130,2022-01-15,Basic,LinkedIn,Australia,2022-04-30
131,2022-01-15,Basic,SEO,Other,2022-09-17
132,2022-01-15,Basic,Google Ads,Brazil,2022-05-21
133,2022-01-15,Basic,LinkedIn,Brazil,2022-05-14
134,2022-01-15,Basic,SEO,USA,2022-01-22
135,2022-01-15,Basic,Facebook Ads,France,2022-12-17
136,2022-01-15,Basic,SEO,Canada,2022-09-24
137,2022-01-15,Basic,Google Ads,Canada,2022-01-29
138,2022-01-15,Basic,Facebook Ads,Germany,2022-05-07
139,2022-01-15,Pro,LinkedIn,Germany,2024-06-01
140,2022-01-15,Basic,Facebook Ads,Brazil,2022-04-23
141,2022-01-15,Basic,Facebook Ads,India,2022-03-12
142,2022-01-15,Basic,SEO,Japan,2022-09-10
143,2022-01-15,Pro,LinkedIn,France,2025-12-27
144,2022-01-15,Basic,LinkedIn,Brazil,2022-04-23
145,2022-01-15,Basic,LinkedIn,Canada,2023-02-18
146,2022-01-15,Basic,LinkedIn,Australia,2023-06-17
147,2022-01-15,Basic,Facebook Ads,Brazil,2022-04-23
148,2022-01-15,Basic,SEO,Germany,2023-04-29
149,2022-01-15,Pro,Google Ads,India,2022-06-25
150,2022-01-15,Pro,SEO,Germany,2023-01-14
151,2022-01-15,Enterprise,Facebook Ads,UK,2023-01-14
152,2022-01-15,Basic,Facebook Ads,UK,2022-10-15
153,2022-01-15,Basic,SEO,Other,2022-02-12
154,2022-01-15,Pro,Facebook Ads,Brazil,2023-10-28
155,2022-01-15,Basic,SEO,France,2022-06-04
156,2022-01-15,Basic,Google Ads,Japan,2022-03-26
157,2022-01-15,Basic,Google Ads,Canada,2022-01-29
158,2022-01-15,Basic,Facebook Ads,Japan,2022-12-03
159,2022-01-15,Pro,LinkedIn,India,2023-02-25
160,2022-01-15,Basic,Google Ads,Canada,2022-01-15
161,2022-01-15,Basic,LinkedIn,France,2022-10-01
162,2022-01-15,Pro,Google Ads,Brazil,2022-04-16
163,2022-01-15,Basic,SEO,India,2023-01-21
164,2022-01-15,Basic,Google Ads,Canada,2022-03-19
165,2022-01-15,Enterprise,LinkedIn,Australia,2023-03-18
166,2022-01-22,Basic,Facebook Ads,France,2022-03-12
167,2022-01-22,Basic,Facebook Ads,France,2022-06-18
168,2022-01-22,Basic,SEO,Other,2022-03-05
169,2022-01-22,Basic,SEO,USA,2024-08-17
170,2022-01-22,Basic,SEO,USA,2024-02-24
171,2022-01-22,Basic,Google Ads,Other,2022-05-07
172,2022-01-22,Pro,Facebook Ads,India,2023-02-18
173,2022-01-22,Pro,Facebook Ads,Germany,2023-09-30
174,2022-01-22,Basic,Facebook Ads,Australia,2022-11-12
175,2022-01-22,Pro,Google Ads,India,2022-10-22
176,2022-01-22,Pro,LinkedIn,UK,2022-04-30
177,2022-01-22,Pro,LinkedIn,India,2022-02-26
178,2022-01-22,Basic,LinkedIn,Canada,2024-04-27
179,2022-01-22,Pro,Google Ads,Other,2024-05-04
180,2022-01-22,Enterprise,Facebook Ads,Other,2023-01-21
181,2022-01-22,Basic,LinkedIn,Japan,2022-06-18
182,2022-01-22,Basic,SEO,Other,2022-06-25
183,2022-01-22,Pro,Facebook Ads,Canada,2023-05-06
184,2022-01-22,Pro,Google Ads,UK,2024-04-27
185,2022-01-22,Basic,LinkedIn,Brazil,2024-03-23
186,2022-01-22,Basic,Google Ads,France,2023-07-22
187,2022-01-22,Basic,SEO,Australia,2023-01-28
188,2022-01-22,Basic,Facebook Ads,UK,2022-02-19
189,2022-01-22,Pro,SEO,Germany,2022-03-26
190,2022-01-22,Basic,SEO,Japan,2024-04-27
191,2022-01-22,Pro,SEO,Germany,2022-12-24
192,2022-01-22,Basic,Facebook Ads,Japan,2022-01-22
193,2022-01-22,Basic,Facebook Ads,Brazil,2022-02-26
194,2022-01-22,Pro,LinkedIn,Germany,2023-02-18
195,2022-01-22,Pro,LinkedIn,USA,2022-01-22
196,2022-01-22,Basic,SEO,USA,2022-03-26
197,2022-01-22,Basic,LinkedIn,Other,2022-11-05
198,2022-01-22,Basic,Facebook Ads,Germany,2023-03-25
199,2022-01-22,Enterprise,SEO,Germany,2023-02-04
200,2022-01-22,Pro,SEO,India,2022-04-23
201,2022-01-22,Pro,Facebook Ads,Australia,2023-04-15
202,2022-01-22,Enterprise,LinkedIn,UK,2022-04-30
203,2022-01-22,Basic,SEO,France,2022-06-11
204,2022-01-22,Enterprise,Facebook Ads,Japan,2023-06-03
205,2022-01-22,Basic,Facebook Ads,India,2023-02-04
206,2022-01-22,Pro,SEO,Germany,2023-12-09
207,2022-01-22,Basic,LinkedIn,Other,2023-02-11
208,2022-01-22,Basic,Google Ads,Brazil,2022-11-19
209,2022-01-22,Basic,Facebook Ads,UK,2022-02-26
210,2022-01-22,Basic,Facebook Ads,Japan,2022-07-02
211,2022-01-22,Enterprise,SEO,France,2022-05-14
212,2022-01-22,Pro,Facebook Ads,Canada,2022-04-30
213,2022-01-22,Basic,SEO,Canada,
214,2022-01-22,Pro,Google Ads,USA,2022-07-16
215,2022-01-22,Pro,SEO,Brazil,2024-04-06
216,2022-01-22,Pro,LinkedIn,Canada,2023-01-14
217,2022-01-22,Basic,LinkedIn,Germany,2023-08-19
218,2022-01-22,Basic,Facebook Ads,Canada,2022-10-01
219,2022-01-22,Pro,Google Ads,Japan,2022-11-26
220,2022-01-22,Basic,Facebook Ads,Other,2022-09-24
221,2022-01-22,Basic,Facebook Ads,Other,2022-04-09
222,2022-01-22,Pro,LinkedIn,Germany,2023-04-29
223,2022-01-22,Enterprise,Google Ads,Germany,2022-05-21
224,2022-01-22,Basic,Google Ads,Brazil,2022-01-29
225,2022-01-29,Basic,Facebook Ads,Germany,2024-11-16
226,2022-01-29,Pro,Google Ads,USA,
227,2022-01-29,Basic,SEO,Other,2024-07-13
228,2022-01-29,Basic,LinkedIn,UK,2022-07-16
229,2022-01-29,Basic,Facebook Ads,Germany,2022-01-29
230,2022-01-29,Basic,Facebook Ads,Other,2024-09-14
231,2022-01-29,Basic,Google Ads,Canada,2022-08-20
232,2022-01-29,Pro,Google Ads,France,
233,2022-01-29,Enterprise,SEO,France,
234,2022-01-29,Basic,SEO,Other,2023-12-23
235,2022-01-29,Basic,Google Ads,France,2022-06-04
236,2022-01-29,Basic,LinkedIn,Other,2022-07-23
237,2022-01-29,Enterprise,Google Ads,France,2023-12-23
238,2022-01-29,Basic,SEO,USA,2022-06-11
239,2022-01-29,Enterprise,LinkedIn,Germany,2022-04-02
240,2022-01-29,Pro,LinkedIn,France,2022-11-19
241,2022-01-29,Basic,Google Ads,Other,2024-10-26
242,2022-01-29,Basic,LinkedIn,France,2023-04-01
243,2022-01-29,Basic,LinkedIn,USA,2022-11-26
244,2022-01-29,Basic,SEO,Other,2022-03-05
245,2022-01-29,Basic,LinkedIn,Australia,2023-01-07
246,2022-01-29,Basic,SEO,USA,
247,2022-01-29,Basic,Google Ads,Japan,2022-03-19
248,2022-01-29,Basic,Google Ads,Germany,2022-10-15
249,2022-01-29,Pro,SEO,France,2024-03-02
250,2022-01-29,Enterprise,LinkedIn,Japan,2023-06-03
251,2022-01-29,Basic,Google Ads,France,2023-04-08
252,2022-01-29,Basic,Google Ads,Canada,2023-04-15
253,2022-01-29,Basic,LinkedIn,Canada,2022-07-09
254,2022-01-29,Basic,Facebook Ads,India,2022-06-04
255,2022-01-29,Basic,LinkedIn,India,2023-09-23
256,2022-01-29,Basic,LinkedIn,UK,2023-09-23
257,2022-01-29,Basic,SEO,Australia,2024-01-27
258,2022-01-29,Basic,LinkedIn,Japan,2024-07-06
259,2022-01-29,Pro,Google Ads,UK,2022-10-15
260,2022-01-29,Basic,SEO,Brazil,2022-10-08
261,2022-01-29,Enterprise,SEO,Germany,2023-09-02
262,2022-01-29,Basic,Facebook Ads,France,2023-02-11
263,2022-01-29,Enterprise,Google Ads,Canada,2023-04-08
264,2022-01-29,Basic,SEO,India,2023-08-26
265,2022-01-29,Basic,LinkedIn,Australia,2024-04-06
266,2022-01-29,Basic,Facebook Ads,UK,2022-06-25
267,2022-01-29,Basic,Google Ads,Canada,2022-07-16
268,2022-01-29,Pro,SEO,Other,2022-03-05
269,2022-01-29,Enterprise,SEO,Canada,2022-12-03
270,2022-01-29,Basic,LinkedIn,USA,2022-02-05
271,2022-01-29,Basic,Facebook Ads,Australia,2022-09-10
272,2022-01-29,Basic,Facebook Ads,France,2022-11-05
273,2022-01-29,Basic,Facebook Ads,USA,2022-05-28
274,2022-01-29,Enterprise,SEO,India,2022-12-17
275,2022-01-29,Basic,LinkedIn,USA,2022-02-05
276,2022-01-29,Pro,Google Ads,Japan,2022-02-05
277,2022-01-29,Basic,Facebook Ads,India,2023-10-14
278,2022-01-29,Pro,Google Ads,Brazil,2022-07-09
279,2022-01-29,Basic,Google Ads,India,2022-03-19
280,2022-01-29,Basic,SEO,UK,2022-10-22
281,2022-01-29,Basic,Facebook Ads,France,2023-07-15
282,2022-01-29,Basic,Google Ads,Australia,2022-04-23
283,2022-01-29,Pro,Facebook Ads,Japan,2023-01-14
284,2022-01-29,Basic,Facebook Ads,France,2022-02-26
285,2022-01-29,Basic,LinkedIn,Brazil,2022-02-12
286,2022-01-29,Basic,SEO,Brazil,2022-10-29
287,2022-01-29,Basic,LinkedIn,Germany,2022-11-05
288,2022-01-29,Basic,LinkedIn,Australia,2023-01-28
289,2022-01-29,Enterprise,SEO,Japan,2023-05-13
290,2022-01-29,Pro,SEO,Japan,
291,2022-01-29,Basic,LinkedIn,Other,2022-10-15
292,2022-01-29,Pro,Facebook Ads,Brazil,2022-06-18
293,2022-01-29,Basic,Google Ads,India,2023-08-26
294,2022-02-05,Pro,Facebook Ads,Brazil,2022-03-05
295,2022-02-05,Basic,LinkedIn,France,2022-02-12
296,2022-02-05,Basic,Google Ads,France,2025-05-10
297,2022-02-05,Basic,SEO,Japan,2023-11-25
298,2022-02-05,Pro,LinkedIn,Japan,2023-04-08
299,2022-02-05,Basic,Facebook Ads,Other,2022-08-13
300,2022-02-05,Basic,LinkedIn,France,2022-04-09
301,2022-02-05,Basic,Facebook Ads,USA,2022-04-02
302,2022-02-05,Pro,Facebook Ads,Other,2022-05-14
303,2022-02-05,Enterprise,Google Ads,Germany,2022-11-19
304,2022-02-05,Basic,Facebook Ads,USA,2023-05-06
305,2022-02-05,Basic,LinkedIn,India,2023-03-04
306,2022-02-05,Pro,Google Ads,USA,2022-06-04
307,2022-02-05,Basic,LinkedIn,France,
308,2022-02-05,Pro,SEO,Canada,2023-06-03
309,2022-02-05,Basic,SEO,Canada,2022-11-26
310,2022-02-05,Pro,SEO,Canada,2023-01-14
311,2022-02-05,Basic,Facebook Ads,India,2022-08-20
312,2022-02-05,Basic,LinkedIn,Germany,2022-05-14
313,2022-02-05,Basic,LinkedIn,UK,2022-07-09
314,2022-02-05,Enterprise,Facebook Ads,UK,2023-07-01
315,2022-02-05,Enterprise,Google Ads,France,2022-02-05
316,2022-02-05,Pro,SEO,Canada,2022-03-19
317,2022-02-05,Enterprise,Google Ads,Germany,2022-02-19
318,2022-02-05,Pro,Google Ads,USA,2022-02-19
319,2022-02-05,Basic,SEO,France,2024-01-06
320,2022-02-05,Basic,Facebook Ads,USA,2023-04-22
321,2022-02-05,Basic,SEO,Australia,2022-09-24
322,2022-02-05,Basic,Google Ads,USA,2022-03-12
323,2022-02-05,Pro,Google Ads,Japan,2022-10-08
324,2022-02-05,Pro,Google Ads,Canada,2022-09-24
325,2022-02-05,Pro,Google Ads,Germany,2022-04-09
326,2022-02-05,Basic,Facebook Ads,France,2022-08-27
327,2022-02-05,Basic,LinkedIn,Germany,2022-08-06
328,2022-02-05,Basic,Google Ads,Other,2023-01-14
329,2022-02-05,Basic,Google Ads,Canada,2023-02-04
330,2022-02-05,Basic,Google Ads,Japan,2022-02-19
331,2022-02-05,Pro,Facebook Ads,Canada,2022-07-23
332,2022-02-05,Pro,LinkedIn,Australia,2023-01-28
333,2022-02-05,Basic,Google Ads,Canada,2022-10-15
334,2022-02-05,Pro,LinkedIn,Brazil,2024-01-06
335,2022-02-05,Pro,SEO,India,2023-02-25
336,2022-02-05,Basic,Facebook Ads,Japan,2022-04-09
337,2022-02-05,Enterprise,SEO,France,2022-02-26
338,2022-02-05,Basic,SEO,France,2023-02-11
339,2022-02-05,Pro,SEO,USA,2022-02-12
340,2022-02-05,Pro,SEO,France,2022-12-17
341,2022-02-05,Pro,SEO,Other,2024-11-23
342,2022-02-05,Basic,Google Ads,India,2022-12-10
343,2022-02-05,Basic,SEO,Canada,2022-07-30
344,2022-02-05,Basic,LinkedIn,Germany,2023-02-11
345,2022-02-05,Pro,SEO,Germany,2022-09-10
346,2022-02-05,Pro,LinkedIn,Australia,2022-11-19
347,2022-02-05,Basic,SEO,India,2024-11-30
348,2022-02-05,Basic,Google Ads,Canada,2022-07-30
349,2022-02-05,Pro,SEO,Canada,2025-04-26
350,2022-02-05,Pro,Facebook Ads,India,2024-06-08
351,2022-02-05,Basic,Facebook Ads,France,2022-04-23
352,2022-02-05,Basic,Facebook Ads,Japan,2022-02-26
353,2022-02-05,Basic,LinkedIn,Japan,2022-03-12
354,2022-02-05,Basic,LinkedIn,France,2022-02-05
355,2022-02-05,Basic,Facebook Ads,Brazil,2022-03-12
356,2022-02-05,Basic,LinkedIn,Canada,2023-03-25
357,2022-02-12,Pro,Google Ads,Canada,2023-12-16
358,2022-02-12,Basic,Google Ads,UK,2022-02-19
359,2022-02-12,Pro,LinkedIn,Canada,2023-10-14
360,2022-02-12,Pro,Facebook Ads,UK,2022-06-11
361,2022-02-12,Basic,LinkedIn,Other,2022-03-26
362,2022-02-12,Basic,SEO,Other,2023-04-22
363,2022-02-12,Basic,SEO,France,2023-02-04
364,2022-02-12,Basic,SEO,France,2024-03-16
365,2022-02-12,Basic,Facebook Ads,Germany,2023-06-10
366,2022-02-12,Basic,LinkedIn,Other,2023-09-23
367,2022-02-12,Basic,LinkedIn,USA,2022-06-11
368,2022-02-12,Enterprise,Google Ads,Brazil,2022-04-23
369,2022-02-12,Basic,Google Ads,India,2023-07-01
370,2022-02-12,Pro,Facebook Ads,Japan,2023-09-30
371,2022-02-12,Basic,LinkedIn,Brazil,
372,2022-02-12,Basic,Facebook Ads,Japan,2022-08-20
373,2022-02-12,Basic,Facebook Ads,Japan,2022-07-30
374,2022-02-12,Pro,Google Ads,India,2023-08-05
375,2022-02-12,Pro,Google Ads,Germany,2022-07-09
376,2022-02-12,Pro,Google Ads,Australia,2024-10-05
377,2022-02-12,Pro,Facebook Ads,Japan,2024-01-20
378,2022-02-12,Pro,Google Ads,Other,2022-09-03
379,2022-02-12,Enterprise,LinkedIn,Brazil,2023-07-01
380,2022-02-12,Pro,Facebook Ads,India,2023-07-08
381,2022-02-12,Enterprise,LinkedIn,France,2022-03-19
382,2022-02-12,Basic,Facebook Ads,Other,2024-06-08
383,2022-02-12,Basic,LinkedIn,Japan,2022-10-22
384,2022-02-12,Basic,Facebook Ads,Canada,2023-11-11
385,2022-02-12,Pro,SEO,Brazil,2022-07-02
386,2022-02-12,Pro,LinkedIn,Japan,2024-05-11
387,2022-02-12,Pro,LinkedIn,Canada,2022-08-06
388,2022-02-12,Basic,Facebook Ads,Brazil,2022-02-12
389,2022-02-12,Basic,Google Ads,Japan,2024-06-15
390,2022-02-12,Basic,SEO,Other,2022-03-12
391,2022-02-12,Basic,SEO,Japan,2022-07-02
392,2022-02-12,Basic,LinkedIn,Germany,2025-02-01
393,2022-02-12,Basic,SEO,Other,
394,2022-02-12,Basic,Google Ads,UK,2022-12-17
395,2022-02-12,Pro,LinkedIn,USA,2023-02-04
396,2022-02-12,Basic,LinkedIn,India,2022-09-10
397,2022-02-12,Basic,Facebook Ads,UK,2022-06-18
398,2022-02-12,Pro,LinkedIn,Australia,2022-07-02
399,2022-02-12,Pro,Google Ads,Other,2023-03-25
400,2022-02-12,Pro,Google Ads,Canada,2023-07-01
401,2022-02-12,Pro,LinkedIn,India,2023-09-02
402,2022-02-12,Basic,Facebook Ads,Japan,2023-09-02
403,2022-02-12,Pro,LinkedIn,UK,2022-03-12
404,2022-02-12,Basic,Facebook Ads,Japan,2022-10-15
405,2022-02-12,Pro,Facebook Ads,UK,2022-03-05
406,2022-02-12,Pro,LinkedIn,Japan,2022-11-26
407,2022-02-12,Basic,SEO,France,2022-09-10
408,2022-02-12,Enterprise,SEO,USA,2024-04-13
409,2022-02-12,Basic,SEO,UK,2022-07-16
410,2022-02-12,Basic,LinkedIn,Germany,2022-03-26
411,2022-02-12,Pro,SEO,Australia,2022-04-09
412,2022-02-12,Basic,Facebook Ads,USA,2023-07-15
413,2022-02-19,Basic,Google Ads,Japan,2022-03-19
414,2022-02-19,Pro,Facebook Ads,Canada,2023-04-29
415,2022-02-19,Basic,SEO,India,2022-03-12
416,2022-02-19,Basic,Facebook Ads,UK,2023-11-04
417,2022-02-19,Pro,LinkedIn,Japan,2023-05-06
418,2022-02-19,Basic,Facebook Ads,UK,2022-03-19
419,2022-02-19,Pro,Facebook Ads,Japan,2022-03-19
420,2022-02-19,Basic,Google Ads,UK,
421,2022-02-19,Enterprise,Google Ads,India,2022-08-06
422,2022-02-19,Basic,Google Ads,Japan,2022-08-06
423,2022-02-19,Basic,LinkedIn,Australia,2023-10-21
424,2022-02-19,Basic,Google Ads,Australia,
425,2022-02-19,Basic,SEO,India,2025-12-27
426,2022-02-19,Basic,SEO,UK,2023-07-08
427,2022-02-19,Basic,Facebook Ads,India,2022-08-06
428,2022-02-19,Basic,LinkedIn,UK,2022-03-19
429,2022-02-19,Basic,Google Ads,UK,2023-08-19
430,2022-02-19,Enterprise,Facebook Ads,Japan,2022-12-10
431,2022-02-19,Basic,LinkedIn,Germany,2022-09-03
432,2022-02-19,Basic,SEO,France,2024-06-29
433,2022-02-19,Enterprise,SEO,Japan,2022-04-02
434,2022-02-19,Basic,Facebook Ads,India,2022-10-22
435,2022-02-19,Basic,Facebook Ads,Australia,2022-02-19
436,2022-02-19,Basic,Facebook Ads,Canada,2022-10-01
437,2022-02-19,Basic,SEO,Canada,2022-03-12
438,2022-02-19,Pro,Google Ads,USA,2022-04-02
439,2022-02-19,Basic,SEO,Brazil,2022-04-02
440,2022-02-19,Enterprise,Facebook Ads,Brazil,2023-03-04
441,2022-02-19,Pro,LinkedIn,India,2023-07-01
442,2022-02-19,Basic,SEO,Australia,2022-12-31
443,2022-02-19,Pro,LinkedIn,France,2025-05-24
444,2022-02-19,Basic,Google Ads,Other,2022-08-06
445,2022-02-19,Basic,Facebook Ads,Australia,2022-06-18
446,2022-02-19,Pro,SEO,Australia,2024-02-24
447,2022-02-19,Basic,SEO,Other,2022-05-21
448,2022-02-19,Basic,Facebook Ads,Canada,2025-05-31
449,2022-02-19,Basic,SEO,UK,2022-02-19
450,2022-02-19,Basic,LinkedIn,Brazil,2025-08-16
451,2022-02-19,Basic,LinkedIn,Japan,2022-03-05
452,2022-02-19,Basic,SEO,France,2024-05-04
453,2022-02-19,Pro,SEO,France,2022-11-19
454,2022-02-19,Basic,Facebook Ads,India,
455,2022-02-19,Pro,Google Ads,USA,2022-03-12
456,2022-02-19,Basic,SEO,Other,2022-12-03
457,2022-02-19,Basic,SEO,India,
458,2022-02-19,Pro,Facebook Ads,UK,2022-11-12
459,2022-02-19,Basic,SEO,USA,2023-02-11
460,2022-02-19,Pro,Facebook Ads,Germany,2023-04-22
461,2022-02-19,Basic,LinkedIn,UK,2022-09-24
462,2022-02-19,Enterprise,Google Ads,Australia,2023-02-11
463,2022-02-19,Basic,LinkedIn,Other,2022-12-31
464,2022-02-19,Pro,Google Ads,India,2024-06-08
465,2022-02-19,Pro,Facebook Ads,France,2022-03-05
466,2022-02-19,Basic,Facebook Ads,Brazil,2022-06-18
467,2022-02-19,Basic,Facebook Ads,UK,2025-02-15
468,2022-02-19,Basic,Google Ads,Other,2024-04-27
469,2022-02-19,Basic,Facebook Ads,Other,2022-09-24
470,2022-02-19,Basic,SEO,USA,2023-02-04
