event_id,customer_id,event_date,event_type,old_plan,new_plan,mrr_change
84,21,2022-01-15,trial_conversion,Trial,Enterprise,299
85,21,2022-04-22,cancellation_request,Enterprise,Enterprise,0
86,21,2022-04-30,cancellation_processed,Enterprise,,-299
87,22,2022-01-01,trial_start,,Basic,0
88,22,2022-01-15,trial_conversion,Trial,Basic,29
89,22,2022-06-08,cancellation_request,Basic,Basic,0
90,22,2022-06-11,cancellation_processed,Basic,,-29
91,23,2022-01-01,trial_start,,Pro,0
92,23,2022-01-15,trial_conversion,Trial,Pro,99
93,23,2022-06-06,upgrade,Pro,Enterprise,200
94,23,2022-08-02,cancellation_request,Enterprise,Enterprise,0
95,23,2022-08-06,cancellation_processed,Enterprise,,-299
96,24,2022-01-01,trial_start,,Basic,0
97,24,2022-01-15,trial_conversion,Trial,Basic,29
98,24,2023-07-03,cancellation_request,Basic,Basic,0
99,24,2023-07-08,cancellation_processed,Basic,,-29
100,25,2022-01-01,trial_start,,Pro,0
101,25,2022-01-15,trial_conversion,Trial,Pro,99
102,25,2022-03-15,cancellation_request,Pro,Pro,0
103,25,2022-03-19,cancellation_processed,Pro,,-99
104,26,2022-01-01,trial_start,,Basic,0
105,26,2022-01-15,trial_conversion,Trial,Basic,29
106,26,2022-09-07,cancellation_request,Basic,Basic,0
107,26,2022-09-17,cancellation_processed,Basic,,-29
108,27,2022-01-01,trial_start,,Basic,0
109,27,2022-01-15,trial_conversion,Trial,Basic,29
110,27,2022-11-05,cancellation_request,Basic,Basic,0
111,27,2022-11-19,cancellation_processed,Basic,,-29
112,28,2022-01-01,trial_start,,Basic,0
113,28,2022-01-15,cancellation_processed,Basic,,0
114,29,2022-01-01,trial_start,,Basic,0
115,29,2022-01-15,trial_conversion,Trial,Basic,29
116,29,2022-11-28,cancellation_request,Basic,Basic,0
117,29,2022-12-03,cancellation_processed,Basic,,-29
118,30,2022-01-01,trial_start,,Basic,0
119,30,2022-01-15,trial_conversion,Trial,Basic,29
120,30,2022-02-21,cancellation_request,Basic,Basic,0
121,30,2022-03-05,cancellation_processed,Basic,,-29
122,31,2022-01-01,trial_start,,Basic,0
123,31,2022-01-15,trial_conversion,Trial,Basic,29
124,31,2022-01-16,cancellation_request,Basic,Basic,0
125,31,2022-01-22,cancellation_processed,Basic,,-29
126,32,2022-01-01,trial_start,,Basic,0
127,32,2022-01-15,trial_conversion,Trial,Basic,29
128,32,2024-12-06,cancellation_request,Basic,Basic,0
129,32,2024-12-14,cancellation_processed,Basic,,-29
130,33,2022-01-01,trial_start,,Pro,0
131,33,2022-01-15,trial_conversion,Trial,Pro,99
132,33,2022-06-24,downgrade,Pro,Basic,-70
133,34,2022-01-01,trial_start,,Basic,0
134,34,2022-01-15,trial_conversion,Trial,Basic,29
135,34,2023-08-08,cancellation_request,Basic,Basic,0
136,34,2023-08-19,cancellation_processed,Basic,,-29
137,35,2022-01-01,trial_start,,Basic,0
138,35,2022-01-15,trial_conversion,Trial,Basic,29
139,35,2022-04-27,cancellation_request,Basic,Basic,0
140,35,2022-05-07,cancellation_processed,Basic,,-29
141,36,2022-01-01,trial_start,,Basic,0
142,36,2022-01-15,trial_conversion,Trial,Basic,29
143,36,2022-01-22,cancellation_request,Basic,Basic,0
144,36,2022-02-05,cancellation_processed,Basic,,-29
145,37,2022-01-01,trial_start,,Basic,0
146,37,2022-01-15,trial_conversion,Trial,Basic,29
147,37,2022-10-20,upgrade,Basic,Pro,70
148,37,2022-12-15,upgrade,Pro,Enterprise,200
149,37,2023-02-09,cancellation_request,Enterprise,Enterprise,0
150,37,2023-02-18,cancellation_processed,Enterprise,,-299
151,38,2022-01-01,trial_start,,Basic,0
152,38,2022-01-15,trial_conversion,Trial,Basic,29
153,38,2022-06-30,upgrade,Basic,Pro,70
154,38,2022-07-22,cancellation_request,Pro,Pro,0
155,38,2022-07-30,cancellation_processed,Pro,,-99
156,39,2022-01-01,trial_start,,Basic,0
157,39,2022-01-15,trial_conversion,Trial,Basic,29
158,39,2022-02-09,cancellation_request,Basic,Basic,0
159,39,2022-02-12,cancellation_processed,Basic,,-29
160,40,2022-01-01,trial_start,,Pro,0
161,40,2022-01-15,trial_conversion,Trial,Pro,99
162,40,2022-04-28,downgrade,Pro,Basic,-70
163,40,2022-08-31,cancellation_request,Basic,Basic,0
164,40,2022-09-03,cancellation_processed,Basic,,-29
165,41,2022-01-01,trial_start,,Basic,0
166,41,2022-01-08,cancellation_processed,Basic,,0
167,42,2022-01-01,trial_start,,Enterprise,0
168,42,2022-01-15,trial_conversion,Trial,Enterprise,299
169,42,2024-05-08,cancellation_request,Enterprise,Enterprise,0
170,42,2024-05-18,cancellation_processed,Enterprise,,-299
171,43,2022-01-01,trial_start,,Basic,0
172,43,2022-01-15,trial_conversion,Trial,Basic,29
173,43,2022-04-13,cancellation_request,Basic,Basic,0
174,43,2022-04-16,cancellation_processed,Basic,,-29
175,44,2022-01-01,trial_start,,Basic,0
176,44,2022-01-15,trial_conversion,Trial,Basic,29
177,44,2022-12-02,upgrade,Basic,Pro,70
178,44,2023-01-17,cancellation_request,Pro,Pro,0
179,44,2023-01-28,cancellation_processed,Pro,,-99
180,45,2022-01-01,trial_start,,Basic,0
181,45,2022-01-15,trial_conversion,Trial,Basic,29
182,45,2022-05-08,cancellation_request,Basic,Basic,0
183,45,2022-05-14,cancellation_processed,Basic,,-29
184,46,2022-01-01,trial_start,,Pro,0
185,46,2022-01-15,trial_conversion,Trial,Pro,99
186,46,2022-09-11,cancellation_request,Pro,Pro,0
187,46,2022-09-24,cancellation_processed,Pro,,-99
188,47,2022-01-01,trial_start,,Basic,0
189,47,2022-01-15,trial_conversion,Trial,Basic,29
190,47,2022-10-14,cancellation_request,Basic,Basic,0
191,47,2022-10-15,cancellation_processed,Basic,,-29
192,48,2022-01-08,trial_start,,Pro,0
193,48,2022-01-22,trial_conversion,Trial,Pro,99
194,48,2024-07-06,cancellation_request,Pro,Pro,0
195,48,2024-07-20,cancellation_processed,Pro,,-99
196,49,2022-01-08,trial_start,,Basic,0
197,49,2022-01-22,trial_conversion,Trial,Basic,29
198,49,2022-02-02,cancellation_request,Basic,Basic,0
199,49,2022-02-05,cancellation_processed,Basic,,-29
200,50,2022-01-08,trial_start,,Basic,0
201,50,2022-01-22,trial_conversion,Trial,Basic,29
202,50,2022-03-25,cancellation_request,Basic,Basic,0
203,50,2022-03-26,cancellation_processed,Basic,,-29
204,51,2022-01-08,trial_start,,Basic,0
205,51,2022-01-22,cancellation_processed,Basic,,0
206,52,2022-01-08,trial_start,,Basic,0
207,52,2022-01-22,trial_conversion,Trial,Basic,29
208,52,2022-05-22,cancellation_request,Basic,Basic,0
209,52,2022-05-28,cancellation_processed,Basic,,-29
210,53,2022-01-08,trial_start,,Basic,0
211,53,2022-01-22,trial_conversion,Trial,Basic,29
212,53,2022-06-24,cancellation_request,Basic,Basic,0
213,53,2022-07-02,cancellation_processed,Basic,,-29
214,54,2022-01-08,trial_start,,Basic,0
215,54,2022-01-22,trial_conversion,Trial,Basic,29
216,54,2022-04-18,cancellation_request,Basic,Basic,0
217,54,2022-04-30,cancellation_processed,Basic,,-29
218,55,2022-01-08,trial_start,,Basic,0
219,55,2022-01-22,trial_conversion,Trial,Basic,29
220,55,2023-10-04,cancellation_request,Basic,Basic,0
221,55,2023-10-07,cancellation_processed,Basic,,-29
222,56,2022-01-08,trial_start,,Basic,0
223,56,2022-01-22,trial_conversion,Trial,Basic,29
224,56,2022-06-06,cancellation_request,Basic,Basic,0
225,56,2022-06-11,cancellation_processed,Basic,,-29
226,57,2022-01-08,trial_start,,Basic,0
227,57,2022-01-22,trial_conversion,Trial,Basic,29
228,57,2022-04-24,cancellation_request,Basic,Basic,0
229,57,2022-05-07,cancellation_processed,Basic,,-29
230,58,2022-01-08,trial_start,,Basic,0
231,58,2022-01-22,trial_conversion,Trial,Basic,29
232,58,2022-10-08,cancellation_request,Basic,Basic,0
233,58,2022-10-15,cancellation_processed,Basic,,-29
234,59,2022-01-08,trial_start,,Basic,0
235,59,2022-01-22,trial_conversion,Trial,Basic,29
236,59,2022-02-13,cancellation_request,Basic,Basic,0
237,59,2022-02-26,cancellation_processed,Basic,,-29
238,60,2022-01-08,trial_start,,Pro,0
239,60,2022-01-22,trial_conversion,Trial,Pro,99
240,60,2022-03-13,downgrade,Pro,Basic,-70
241,60,2023-08-05,cancellation_request,Basic,Basic,0
242,60,2023-08-19,cancellation_processed,Basic,,-29
243,61,2022-01-08,trial_start,,Pro,0
244,61,2022-01-22,trial_conversion,Trial,Pro,99
245,61,2022-01-29,cancellation_request,Pro,Pro,0
246,61,2022-02-05,cancellation_processed,Pro,,-99
247,62,2022-01-08,trial_start,,Pro,0
248,62,2022-01-22,trial_conversion,Trial,Pro,99
249,62,2022-05-30,downgrade,Pro,Basic,-70
250,62,2023-03-20,upgrade,Basic,Pro,70
251,62,2025-12-25,cancellation_request,Pro,Pro,0
252,62,2025-12-27,cancellation_processed,Pro,,-99
253,63,2022-01-08,trial_start,,Basic,0
254,63,2022-01-22,trial_conversion,Trial,Basic,29
255,63,2022-11-07,upgrade,Basic,Pro,70
256,63,2023-06-11,cancellation_request,Pro,Pro,0
257,63,2023-06-24,cancellation_processed,Pro,,-99
258,64,2022-01-08,trial_start,,Enterprise,0
259,64,2022-01-22,trial_conversion,Trial,Enterprise,299
260,64,2022-03-23,cancellation_request,Enterprise,Enterprise,0
261,64,2022-03-26,cancellation_processed,Enterprise,,-299
262,65,2022-01-08,trial_start,,Basic,0
263,65,2022-01-08,cancellation_processed,Basic,,0
264,66,2022-01-08,trial_start,,Basic,0
265,66,2022-01-22,trial_conversion,Trial,Basic,29
266,66,2023-01-19,upgrade,Basic,Pro,70
267,66,2023-08-29,cancellation_request,Pro,Pro,0
268,66,2023-09-09,cancellation_processed,Pro,,-99
269,67,2022-01-08,trial_start,,Pro,0
270,67,2022-01-22,trial_conversion,Trial,Pro,99
271,67,2022-12-30,upgrade,Pro,Enterprise,200
272,67,2023-03-13,cancellation_request,Enterprise,Enterprise,0
273,67,2023-03-25,cancellation_processed,Enterprise,,-299
274,68,2022-01-08,trial_start,,Basic,0
275,68,2022-01-22,trial_conversion,Trial,Basic,29
276,68,2023-04-16,cancellation_request,Basic,Basic,0
277,68,2023-04-22,cancellation_processed,Basic,,-29
278,69,2022-01-08,trial_start,,Pro,0
279,69,2022-01-22,trial_conversion,Trial,Pro,99
280,69,2023-06-12,cancellation_request,Pro,Pro,0
281,69,2023-06-24,cancellation_processed,Pro,,-99
282,70,2022-01-08,trial_start,,Pro,0
283,70,2022-01-22,trial_conversion,Trial,Pro,99
284,70,2022-02-04,cancellation_request,Pro,Pro,0
285,70,2022-02-05,cancellation_processed,Pro,,-99
286,71,2022-01-08,trial_start,,Pro,0
287,71,2022-01-22,trial_conversion,Trial,Pro,99
288,71,2022-06-05,cancellation_request,Pro,Pro,0
289,71,2022-06-18,cancellation_processed,Pro,,-99
290,72,2022-01-08,trial_start,,Basic,0
291,72,2022-01-22,trial_conversion,Trial,Basic,29
292,72,2022-02-16,cancellation_request,Basic,Basic,0
293,72,2022-02-19,cancellation_processed,Basic,,-29
294,73,2022-01-08,trial_start,,Pro,0
295,73,2022-01-22,trial_conversion,Trial,Pro,99
296,73,2022-06-24,downgrade,Pro,Basic,-70
297,73,2023-12-25,cancellation_request,Basic,Basic,0
298,73,2023-12-30,cancellation_processed,Basic,,-29
299,74,2022-01-08,trial_start,,Basic,0
300,74,2022-01-22,trial_conversion,Trial,Basic,29
301,74,2022-12-16,cancellation_request,Basic,Basic,0
302,74,2022-12-24,cancellation_processed,Basic,,-29
303,75,2022-01-08,trial_start,,Basic,0
304,75,2022-01-22,trial_conversion,Trial,Basic,29
305,75,2022-05-27,cancellation_request,Basic,Basic,0
306,75,2022-05-28,cancellation_processed,Basic,,-29
307,76,2022-01-08,trial_start,,Basic,0
308,76,2022-01-22,trial_conversion,Trial,Basic,29
309,76,2022-01-22,cancellation_request,Basic,Basic,0
310,76,2022-01-29,cancellation_processed,Basic,,-29
311,77,2022-01-08,trial_start,,Basic,0
312,77,2022-01-22,trial_conversion,Trial,Basic,29
313,77,2022-05-16,cancellation_request,Basic,Basic,0
314,77,2022-05-21,cancellation_processed,Basic,,-29
315,78,2022-01-08,trial_start,,Basic,0
316,78,2022-01-22,trial_conversion,Trial,Basic,29
317,78,2022-05-23,cancellation_request,Basic,Basic,0
318,78,2022-05-28,cancellation_processed,Basic,,-29
319,79,2022-01-08,trial_start,,Basic,0
320,79,2022-01-22,trial_conversion,Trial,Basic,29
321,79,2022-09-28,upgrade,Basic,Pro,70
322,79,2023-04-16,cancellation_request,Pro,Pro,0
323,79,2023-04-29,cancellation_processed,Pro,,-99
324,80,2022-01-08,trial_start,,Pro,0
325,80,2022-01-22,trial_conversion,Trial,Pro,99
326,80,2022-05-03,downgrade,Pro,Basic,-70
327,80,2023-01-04,cancellation_request,Basic,Basic,0
328,80,2023-01-07,cancellation_processed,Basic,,-29
329,81,2022-01-08,trial_start,,Basic,0
330,81,2022-01-22,trial_conversion,Trial,Basic,29
331,81,2024-03-01,cancellation_request,Basic,Basic,0
332,81,2024-03-09,cancellation_processed,Basic,,-29
333,82,2022-01-08,trial_start,,Basic,0
334,82,2022-01-22,trial_conversion,Trial,Basic,29
335,82,2022-08-20,cancellation_request,Basic,Basic,0
336,82,2022-08-27,cancellation_processed,Basic,,-29
337,83,2022-01-08,trial_start,,Pro,0
338,83,2022-01-22,trial_conversion,Trial,Pro,99
339,83,2022-02-06,cancellation_request,Pro,Pro,0
340,83,2022-02-19,cancellation_processed,Pro,,-99
341,84,2022-01-08,trial_start,,Basic,0
342,84,2022-01-22,trial_conversion,Trial,Basic,29
343,84,2023-03-25,cancellation_request,Basic,Basic,0
344,84,2023-04-01,cancellation_processed,Basic,,-29
345,85,2022-01-08,trial_start,,Pro,0
346,85,2022-01-22,trial_conversion,Trial,Pro,99
347,85,2022-08-08,upgrade,Pro,Enterprise,200
348,85,2023-05-31,cancellation_request,Enterprise,Enterprise,0
349,85,2023-06-10,cancellation_processed,Enterprise,,-299
350,86,2022-01-08,trial_start,,Pro,0
351,86,2022-01-22,trial_conversion,Trial,Pro,99
352,86,2022-08-12,downgrade,Pro,Basic,-70
353,86,2022-10-21,cancellation_request,Basic,Basic,0
354,86,2022-10-29,cancellation_processed,Basic,,-29
355,87,2022-01-08,trial_start,,Basic,0
356,87,2022-01-22,trial_conversion,Trial,Basic,29
357,87,2022-11-23,upgrade,Basic,Pro,70
358,87,2023-02-06,downgrade,Pro,Basic,-70
359,87,2023-06-17,cancellation_request,Basic,Basic,0
360,87,2023-06-24,cancellation_processed,Basic,,-29
361,88,2022-01-08,trial_start,,Basic,0
362,88,2022-01-22,trial_conversion,Trial,Basic,29
363,88,2022-09-06,cancellation_request,Basic,Basic,0
364,88,2022-09-10,cancellation_processed,Basic,,-29
365,89,2022-01-08,trial_start,,Pro,0
366,89,2022-01-22,trial_conversion,Trial,Pro,99
367,89,2022-09-23,cancellation_request,Pro,Pro,0
368,89,2022-10-01,cancellation_processed,Pro,,-99
369,90,2022-01-08,trial_start,,Enterprise,0
370,90,2022-01-22,trial_conversion,Trial,Enterprise,299
371,90,2022-07-28,cancellation_request,Enterprise,Enterprise,0
372,90,2022-07-30,cancellation_processed,Enterprise,,-299
373,91,2022-01-08,trial_start,,Basic,0
374,91,2022-01-15,cancellation_processed,Basic,,0
375,92,2022-01-08,trial_start,,Enterprise,0
376,92,2022-01-22,trial_conversion,Trial,Enterprise,299
377,92,2022-02-09,cancellation_request,Enterprise,Enterprise,0
378,92,2022-02-12,cancellation_processed,Enterprise,,-299
379,93,2022-01-08,trial_start,,Pro,0
380,93,2022-01-15,cancellation_processed,Pro,,0
381,94,2022-01-08,trial_start,,Basic,0
382,94,2022-01-22,trial_conversion,Trial,Basic,29
383,94,2023-01-04,cancellation_request,Basic,Basic,0
384,94,2023-01-07,cancellation_processed,Basic,,-29
385,95,2022-01-08,trial_start,,Pro,0
386,95,2022-01-22,trial_conversion,Trial,Pro,99
387,95,2022-05-19,cancellation_request,Pro,Pro,0
388,95,2022-05-21,cancellation_processed,Pro,,-99
389,96,2022-01-08,trial_start,,Basic,0
390,96,2022-01-22,trial_conversion,Trial,Basic,29
391,96,2022-09-15,cancellation_request,Basic,Basic,0
392,96,2022-09-17,cancellation_processed,Basic,,-29
393,97,2022-01-08,trial_start,,Basic,0
394,97,2022-01-22,trial_conversion,Trial,Basic,29
395,97,2022-04-27,upgrade,Basic,Pro,70
396,97,2022-11-19,upgrade,Pro,Enterprise,200
397,97,2024-05-13,cancellation_request,Enterprise,Enterprise,0
398,97,2024-05-18,cancellation_processed,Enterprise,,-299
399,98,2022-01-08,trial_start,,Pro,0
400,98,2022-01-22,trial_conversion,Trial,Pro,99
401,98,2022-04-08,cancellation_request,Pro,Pro,0
402,98,2022-04-16,cancellation_processed,Pro,,-99
403,99,2022-01-08,trial_start,,Enterprise,0
404,99,2022-01-22,trial_conversion,Trial,Enterprise,299
405,99,2022-07-08,cancellation_request,Enterprise,Enterprise,0
406,99,2022-07-16,cancellation_processed,Enterprise,,-299
407,100,2022-01-08,trial_start,,Enterprise,0
408,100,2022-01-22,trial_conversion,Trial,Enterprise,299
409,100,2023-06-02,cancellation_request,Enterprise,Enterprise,0
410,100,2023-06-03,cancellation_processed,Enterprise,,-299
411,101,2022-01-08,trial_start,,Basic,0
412,101,2022-01-22,trial_conversion,Trial,Basic,29
413,101,2022-04-04,cancellation_request,Basic,Basic,0
414,101,2022-04-09,cancellation_processed,Basic,,-29
415,102,2022-01-08,trial_start,,Pro,0
416,102,2022-01-22,trial_conversion,Trial,Pro,99
417,102,2022-01-22,cancellation_request,Pro,Pro,0
418,102,2022-02-05,cancellation_processed,Pro,,-99
419,103,2022-01-08,trial_start,,Enterprise,0
420,103,2022-01-22,trial_conversion,Trial,Enterprise,299
421,103,2022-05-02,cancellation_request,Enterprise,Enterprise,0
422,103,2022-05-07,cancellation_processed,Enterprise,,-299
423,104,2022-01-08,trial_start,,Pro,0
424,104,2022-01-22,trial_conversion,Trial,Pro,99
425,104,2022-03-04,cancellation_request,Pro,Pro,0
426,104,2022-03-12,cancellation_processed,Pro,,-99
427,105,2022-01-08,trial_start,,Basic,0
428,105,2022-01-22,trial_conversion,Trial,Basic,29
429,105,2024-08-24,cancellation_request,Basic,Basic,0
430,105,2024-08-31,cancellation_processed,Basic,,-29
431,106,2022-01-08,trial_start,,Basic,0
432,106,2022-01-22,trial_conversion,Trial,Basic,29
433,106,2023-08-12,cancellation_request,Basic,Basic,0
434,106,2023-08-26,cancellation_processed,Basic,,-29
435,107,2022-01-08,trial_start,,Basic,0
436,107,2022-01-22,trial_conversion,Trial,Basic,29
437,107,2022-12-25,cancellation_request,Basic,Basic,0
438,107,2023-01-07,cancellation_processed,Basic,,-29
439,108,2022-01-08,trial_start,,Basic,0
440,108,2022-01-22,trial_conversion,Trial,Basic,29
441,108,2022-09-21,upgrade,Basic,Pro,70
442,108,2022-11-29,downgrade,Pro,Basic,-70
443,108,2024-01-06,cancellation_request,Basic,Basic,0
444,108,2024-01-20,cancellation_processed,Basic,,-29
445,109,2022-01-08,trial_start,,Basic,0
446,109,2022-01-22,trial_conversion,Trial,Basic,29
447,109,2023-08-08,cancellation_request,Basic,Basic,0
448,109,2023-08-19,cancellation_processed,Basic,,-29
449,110,2022-01-08,trial_start,,Basic,0
450,110,2022-01-22,trial_conversion,Trial,Basic,29
451,110,2022-03-06,cancellation_request,Basic,Basic,0
452,110,2022-03-19,cancellation_processed,Basic,,-29
453,111,2022-01-08,trial_start,,Pro,0
454,111,2022-01-22,trial_conversion,Trial,Pro,99
455,111,2022-05-11,upgrade,Pro,Enterprise,200
456,111,2024-03-22,cancellation_request,Enterprise,Enterprise,0
457,111,2024-03-30,cancellation_processed,Enterprise,,-299
458,112,2022-01-08,trial_start,,Enterprise,0
459,112,2022-01-22,trial_conversion,Trial,Enterprise,299
460,112,2022-10-05,cancellation_request,Enterprise,Enterprise,0
461,112,2022-10-15,cancellation_processed,Enterprise,,-299
462,113,2022-01-15,trial_start,,Pro,0
463,113,2022-01-29,trial_conversion,Trial,Pro,99
464,113,2022-04-10,cancellation_request,Pro,Pro,0
465,113,2022-04-16,cancellation_processed,Pro,,-99
466,114,2022-01-15,trial_start,,Basic,0
467,114,2022-01-29,trial_conversion,Trial,Basic,29
468,114,2022-06-30,upgrade,Basic,Pro,70
469,114,2022-07-25,cancellation_request,Pro,Pro,0
470,114,2022-07-30,cancellation_processed,Pro,,-99
471,115,2022-01-15,trial_start,,Pro,0
472,115,2022-01-29,trial_conversion,Trial,Pro,99
473,115,2022-11-08,downgrade,Pro,Basic,-70
474,115,2023-09-14,cancellation_request,Basic,Basic,0
475,115,2023-09-23,cancellation_processed,Basic,,-29
476,116,2022-01-15,trial_start,,Pro,0
477,116,2022-01-29,trial_conversion,Trial,Pro,99
478,116,2022-08-31,upgrade,Pro,Enterprise,200
479,116,2023-12-26,cancellation_request,Enterprise,Enterprise,0
480,116,2023-12-30,cancellation_processed,Enterprise,,-299
481,117,2022-01-15,trial_start,,Pro,0
482,117,2022-01-15,cancellation_processed,Pro,,0
483,118,2022-01-15,trial_start,,Pro,0
484,118,2022-01-29,trial_conversion,Trial,Pro,99
485,118,2022-08-18,upgrade,Pro,Enterprise,200
486,118,2022-09-26,cancellation_request,Enterprise,Enterprise,0
487,118,2022-10-01,cancellation_processed,Enterprise,,-299
488,119,2022-01-15,trial_start,,Pro,0
489,119,2022-01-29,trial_conversion,Trial,Pro,99
490,119,2022-04-28,downgrade,Pro,Basic,-70
491,119,2022-07-22,cancellation_request,Basic,Basic,0
492,119,2022-07-30,cancellation_processed,Basic,,-29
493,120,2022-01-15,trial_start,,Basic,0
494,120,2022-01-29,trial_conversion,Trial,Basic,29
495,120,2022-04-08,cancellation_request,Basic,Basic,0
496,120,2022-04-16,cancellation_processed,Basic,,-29
497,121,2022-01-15,trial_start,,Basic,0
498,121,2022-01-29,trial_conversion,Trial,Basic,29
499,121,2022-02-24,cancellation_request,Basic,Basic,0
500,121,2022-02-26,cancellation_processed,Basic,,-29
501,122,2022-01-15,trial_start,,Basic,0
502,122,2022-01-29,trial_conversion,Trial,Basic,29
503,122,2022-06-09,cancellation_request,Basic,Basic,0
504,122,2022-06-11,cancellation_processed,Basic,,-29
505,123,2022-01-15,trial_start,,Basic,0
506,123,2022-01-29,trial_conversion,Trial,Basic,29
507,123,2024-11-03,cancellation_request,Basic,Basic,0
508,123,2024-11-16,cancellation_processed,Basic,,-29
509,124,2022-01-15,trial_start,,Pro,0
510,124,2022-01-29,trial_conversion,Trial,Pro,99
511,124,2022-05-28,cancellation_request,Pro,Pro,0
512,124,2022-06-04,cancellation_processed,Pro,,-99
513,125,2022-01-15,trial_start,,Basic,0
514,125,2022-01-29,trial_conversion,Trial,Basic,29
515,125,2022-08-01,upgrade,Basic,Pro,70
516,125,2022-09-26,cancellation_request,Pro,Pro,0
517,125,2022-10-08,cancellation_processed,Pro,,-99
518,126,2022-01-15,trial_start,,Basic,0
519,126,2022-01-29,trial_conversion,Trial,Basic,29
520,126,2022-07-04,upgrade,Basic,Pro,70
