ticket_id,customer_id,creation_date,resolution_date,status,priority,issue_type,channel
32,28,2022-01-04,,In Progress,Urgent,Technical Glitch,Email
33,30,2022-01-01,,Pending Customer Response,High,How-to Question,Forum
34,30,2022-01-08,2022-01-13,Resolved,Urgent,Technical Glitch,Phone
35,31,2022-01-18,,Pending Customer Response,Low,Bug Report,Forum
36,31,2022-01-13,,Pending Customer Response,Urgent,Technical Glitch,Chat
37,31,2022-01-07,,Pending Customer Response,High,Billing Inquiry,Forum
38,33,2023-01-08,2023-01-15,Resolved,Urgent,Feature Request,Email
39,34,2022-04-10,2022-04-10,Closed,Low,Billing Inquiry,Email
40,34,2022-04-17,2022-04-22,Closed,Low,Feature Request,Chat
41,35,2022-01-23,2022-01-24,Closed,Urgent,How-to Question,Email
42,35,2022-03-16,2022-03-23,Closed,Medium,Bug Report,Email
43,37,2022-04-17,2022-04-22,Resolved,Low,Billing Inquiry,Forum
44,39,2022-01-04,,Open,Low,Technical Glitch,Email
45,39,2022-02-05,,Pending Customer Response,High,Technical Glitch,Phone
46,40,2022-05-18,,Pending Customer Response,High,Feature Request,Phone
47,40,2022-04-24,,Pending Customer Response,Urgent,How-to Question,Chat
48,42,2022-11-13,2022-11-15,Resolved,Medium,Password Reset,Forum
49,42,2022-12-17,,Pending Customer Response,High,Bug Report,Email
50,45,2022-04-03,,In Progress,Low,Bug Report,Chat
51,46,2022-01-10,2022-01-11,Resolved,High,How-to Question,Phone
52,47,2022-04-19,,In Progress,Low,Password Reset,Email
53,48,2023-07-01,2023-07-01,Resolved,Urgent,How-to Question,Email
54,48,2022-04-07,2022-04-08,Closed,High,Technical Glitch,Chat
55,49,2022-01-11,2022-01-13,Resolved,Low,Bug Report,Forum
56,50,2022-01-19,,In Progress,High,How-to Question,Phone
57,51,2022-01-21,2022-01-22,Resolved,Medium,Feature Request,Chat
58,52,2022-01-31,2022-02-01,Resolved,Urgent,Password Reset,Phone
59,54,2022-02-21,,Pending Customer Response,Urgent,How-to Question,Chat
60,55,2022-05-25,2022-05-30,Resolved,High,Billing Inquiry,Email
61,55,2022-09-06,2022-09-10,Closed,Medium,Billing Inquiry,Email
62,56,2022-03-12,,Open,High,Billing Inquiry,Email
63,57,2022-03-04,2022-03-09,Closed,Medium,Feature Request,Forum
64,58,2022-04-08,2022-04-11,Closed,Urgent,Billing Inquiry,Phone
65,58,2022-03-04,,Open,Urgent,How-to Question,Chat
66,59,2022-01-19,,Pending Customer Response,Low,Billing Inquiry,Email
67,59,2022-01-13,2022-01-19,Closed,Low,How-to Question,Forum
68,60,2022-02-09,2022-02-12,Resolved,High,Feature Request,Phone
69,61,2022-01-18,2022-01-22,Closed,Medium,Billing Inquiry,Forum
70,61,2022-01-23,,Open,High,Password Reset,Email
71,62,2022-01-20,,In Progress,Low,Billing Inquiry,Phone
72,63,2023-02-28,2023-03-06,Closed,Low,How-to Question,Chat
73,64,2022-01-31,2022-02-06,Closed,Low,Technical Glitch,Forum
74,67,2022-12-11,,Open,Medium,Password Reset,Email
75,67,2022-09-02,,Open,Medium,Feature Request,Chat
76,68,2022-03-06,,In Progress,Medium,Password Reset,Phone
77,68,2022-07-24,,In Progress,Medium,Billing Inquiry,Chat
78,68,2022-02-04,2022-02-08,Closed,High,Technical Glitch,Phone
79,69,2022-05-11,,In Progress,High,Password Reset,Email
80,71,2022-02-16,2022-02-17,Resolved,Low,Feature Request,Phone
81,71,2022-03-13,2022-03-20,Closed,Medium,Billing Inquiry,Phone
82,72,2022-02-03,,Pending Customer Response,High,Bug Report,Chat
83,72,2022-02-11,2022-02-11,Resolved,Low,Password Reset,Phone
84,76,2022-01-10,,In Progress,Medium,How-to Question,Chat
85,77,2022-04-29,2022-05-06,Closed,Medium,Bug Report,Forum
86,77,2022-02-14,,Open,Low,How-to Question,Phone
87,77,2022-05-12,2022-05-14,Resolved,Urgent,Bug Report,Forum
88,79,2022-12-01,,In Progress,Medium,Billing Inquiry,Phone
89,80,2022-02-09,2022-02-09,Closed,Urgent,Billing Inquiry,Chat
90,80,2022-09-24,,Pending Customer Response,High,Technical Glitch,Forum
91,81,2022-09-13,2022-09-14,Closed,Low,Technical Glitch,Email
92,81,2022-11-07,,Pending Customer Response,Low,Bug Report,Chat
93,83,2022-01-22,2022-01-27,Resolved,High,Billing Inquiry,Chat
94,83,2022-01-13,2022-01-13,Closed,Low,Password Reset,Email
95,85,2022-07-29,,Open,Medium,Feature Request,Phone
96,85,2022-10-20,,In Progress,High,Technical Glitch,Phone
97,86,2022-08-09,2022-08-14,Resolved,Urgent,Billing Inquiry,Chat
98,86,2022-04-30,2022-05-04,Closed,Low,How-to Question,Forum
99,87,2023-03-21,,Pending Customer Response,High,How-to Question,Forum
100,87,2023-04-20,,In Progress,High,Bug Report,Phone
101,88,2022-04-02,2022-04-05,Closed,High,Bug Report,Forum
102,89,2022-01-20,2022-01-25,Closed,Urgent,Billing Inquiry,Phone
103,90,2022-02-09,2022-02-12,Closed,Medium,Password Reset,Chat
104,93,2022-01-11,,Open,Low,Password Reset,Phone
105,93,2022-01-12,,Pending Customer Response,Low,Password Reset,Forum
106,94,2022-02-25,,In Progress,Medium,Password Reset,Phone
107,96,2022-09-03,,In Progress,High,Billing Inquiry,Phone
108,97,2024-05-03,,In Progress,Medium,Technical Glitch,Chat
109,97,2022-05-01,2022-05-04,Resolved,High,Technical Glitch,Phone
110,98,2022-04-09,2022-04-12,Resolved,Low,Bug Report,Forum
111,99,2022-06-13,2022-06-18,Closed,Low,Feature Request,Phone
112,100,2023-05-05,,Pending Customer Response,High,Feature Request,Phone
113,101,2022-03-31,,In Progress,Urgent,Technical Glitch,Phone
114,101,2022-02-24,2022-02-27,Resolved,Medium,Technical Glitch,Email
115,102,2022-01-18,,Open,Medium,How-to Question,Email
116,102,2022-01-20,,Pending Customer Response,Low,Password Reset,Phone
117,103,2022-01-15,2022-01-22,Resolved,Urgent,Billing Inquiry,Phone
118,104,2022-01-30,,In Progress,High,Bug Report,Phone
119,104,2022-01-14,,In Progress,High,Bug Report,Email
120,106,2023-02-27,2023-02-27,Closed,Medium,How-to Question,Email
121,106,2022-12-28,,Pending Customer Response,Urgent,Technical Glitch,Forum
122,107,2022-05-04,2022-05-10,Resolved,Medium,How-to Question,Forum
123,108,2023-04-11,,Open,Medium,Password Reset,Phone
124,109,2022-09-14,,In Progress,Medium,Feature Request,Forum
125,110,2022-01-15,,Pending Customer Response,High,How-to Question,Phone
126,111,2023-12-29,,Pending Customer Response,Low,Billing Inquiry,Chat
127,112,2022-03-09,,In Progress,Medium,Password Reset,Chat
128,113,2022-02-06,,Pending Customer Response,Urgent,Password Reset,Chat
129,113,2022-02-10,2022-02-10,Closed,Urgent,Bug Report,Phone
130,113,2022-04-11,,Pending Customer Response,Urgent,Password Reset,Email
131,114,2022-03-25,,Open,High,Technical Glitch,Chat
132,114,2022-03-07,2022-03-08,Closed,High,Feature Request,Chat
133,115,2022-01-19,,In Progress,Medium,Feature Request,Forum
134,115,2022-06-09,,Pending Customer Response,Low,Password Reset,Chat
135,116,2023-02-12,2023-02-14,Resolved,Low,Password Reset,Email
136,119,2022-07-28,,In Progress,Low,Technical Glitch,Chat
137,120,2022-02-09,,Open,Low,Password Reset,Phone
138,121,2022-02-19,,Open,Medium,Bug Report,Phone
139,122,2022-05-24,,Open,Medium,How-to Question,Phone
140,124,2022-01-25,2022-01-27,Closed,High,Bug Report,Chat
141,126,2023-03-03,2023-03-10,Closed,Medium,Technical Glitch,Forum
142,127,2022-02-27,,Open,Urgent,Password Reset,Email
143,130,2022-01-30,,In Progress,High,Billing Inquiry,Phone
144,131,2022-07-17,2022-07-23,Closed,High,Technical Glitch,Chat
145,133,2022-01-19,2022-01-26,Resolved,High,Technical Glitch,Chat
146,133,2022-02-11,,In Progress,Urgent,How-to Question,Phone
147,136,2022-02-18,2022-02-19,Closed,Medium,How-to Question,Forum
148,137,2022-01-27,,In Progress,Urgent,How-to Question,Phone
149,138,2022-04-25,,In Progress,High,How-to Question,Chat
150,138,2022-03-27,,In Progress,Urgent,How-to Question,Phone
151,138,2022-02-17,2022-02-21,Resolved,High,How-to Question,Forum
152,139,2023-04-25,,Open,Medium,Password Reset,Phone
153,140,2022-03-25,2022-03-27,Resolved,Medium,Technical Glitch,Phone
154,141,2022-01-23,,In Progress,Medium,Technical Glitch,Phone
155,144,2022-04-02,,In Progress,High,Password Reset,Forum
156,145,2022-06-26,2022-07-03,Closed,Medium,Technical Glitch,Forum
157,146,2022-12-25,,In Progress,Urgent,Feature Request,Email
158,147,2022-01-24,,Pending Customer Response,Low,Password Reset,Phone
159,148,2022-06-25,,Open,High,Bug Report,Email
160,148,2022-01-27,2022-01-28,Resolved,High,Feature Request,Email
161,150,2022-09-15,,In Progress,Low,Technical Glitch,Email
162,150,2022-05-07,2022-05-14,Closed,Medium,Technical Glitch,Chat
163,152,2022-06-07,2022-06-08,Resolved,Urgent,Password Reset,Phone
164,152,2022-09-01,,Pending Customer Response,High,Password Reset,Chat
165,153,2022-01-28,,In Progress,Medium,Billing Inquiry,Email
166,153,2022-02-03,2022-02-08,Closed,Low,Bug Report,Forum
167,154,2023-05-23,,Open,Medium,Bug Report,Phone
168,157,2022-01-21,2022-01-27,Resolved,Urgent,Feature Request,Forum
169,159,2022-09-14,,In Progress,High,Password Reset,Email
170,161,2022-06-13,2022-06-18,Resolved,Medium,Bug Report,Chat
171,163,2022-12-10,2022-12-17,Resolved,Urgent,How-to Question,Chat
172,163,2023-01-08,,Pending Customer Response,Medium,How-to Question,Email
173,163,2022-10-14,2022-10-14,Resolved,Medium,Password Reset,Forum
174,164,2022-03-18,,In Progress,Low,Billing Inquiry,Email
175,165,2023-01-24,,Open,Low,Password Reset,Email
176,165,2022-07-26,2022-07-26,Resolved,Medium,How-to Question,Chat
177,165,2023-03-08,,Pending Customer Response,Low,Billing Inquiry,Forum
178,167,2022-04-12,,Pending Customer Response,Urgent,Billing Inquiry,Forum
179,167,2022-03-25,,In Progress,Low,Bug Report,Chat
180,168,2022-02-28,,Open,Urgent,Password Reset,Email
181,169,2023-05-10,,Pending Customer Response,Low,Bug Report,Phone
182,169,2024-06-02,,In Progress,Medium,Feature Request,Forum
183,170,2022-03-14,,In Progress,Medium,Billing Inquiry,Forum
184,171,2022-02-07,2022-02-08,Closed,Low,Bug Report,Phone
185,172,2022-05-04,,Pending Customer Response,High,Billing Inquiry,Forum
186,174,2022-05-20,,Pending Customer Response,Low,Bug Report,Phone
187,174,2022-06-22,,Pending Customer Response,High,Password Reset,Phone
188,175,2022-03-13,2022-03-16,Resolved,High,Password Reset,Forum
189,175,2022-06-11,2022-06-17,Resolved,Medium,How-to Question,Forum
190,176,2022-04-10,2022-04-15,Resolved,Medium,Feature Request,Phone
191,176,2022-02-05,,Open,Low,Technical Glitch,Email
192,177,2022-02-10,2022-02-15,Resolved,Urgent,Bug Report,Email
193,180,2022-02-09,,In Progress,High,Bug Report,Forum
194,181,2022-02-28,,Pending Customer Response,Urgent,Feature Request,Email
195,182,2022-06-11,,Open,Urgent,How-to Question,Forum
196,183,2023-03-27,,Open,High,Technical Glitch,Phone
197,183,2023-03-21,2023-03-24,Closed,Urgent,Technical Glitch,Phone
198,184,2023-01-13,,Open,Low,Technical Glitch,Forum
199,184,2022-04-11,,Pending Customer Response,Low,Bug Report,Chat
200,184,2023-06-30,,In Progress,Low,Technical Glitch,Phone
201,185,2023-05-19,2023-05-23,Resolved,High,Billing Inquiry,Forum
202,185,2022-09-23,2022-09-23,Closed,Low,Bug Report,Forum
203,185,2023-05-15,,Open,Medium,Feature Request,Forum
204,187,2022-09-15,,Open,Low,Bug Report,Email
205,187,2022-11-04,,Pending Customer Response,Urgent,Bug Report,Forum
206,189,2022-02-02,,In Progress,Medium,Feature Request,Phone
207,190,2023-02-21,,Open,Low,Bug Report,Phone
208,190,2022-12-14,,Open,High,Billing Inquiry,Email
209,191,2022-04-18,,Open,Urgent,Feature Request,Phone
210,193,2022-02-09,,Open,Urgent,Billing Inquiry,Forum
211,193,2022-01-24,2022-01-28,Resolved,Medium,Password Reset,Phone
212,194,2022-04-05,,Pending Customer Response,Low,Bug Report,Email
213,194,2022-12-02,2022-12-02,Closed,Urgent,How-to Question,Email
214,196,2022-03-06,2022-03-07,Closed,High,Bug Report,Email
215,197,2022-02-28,,Pending Customer Response,Urgent,Technical Glitch,Email
216,199,2022-12-10,2022-12-17,Closed,Urgent,Technical Glitch,Forum
217,200,2022-04-11,2022-04-13,Closed,Medium,Password Reset,Phone
218,200,2022-03-24,,In Progress,Urgent,Feature Request,Email
219,200,2022-02-15,,Pending Customer Response,Urgent,Password Reset,Phone
220,200,2022-03-22,,In Progress,Urgent,Billing Inquiry,Forum
221,202,2022-02-21,,Open,Medium,How-to Question,Forum
222,203,2022-05-23,,Open,High,Bug Report,Forum
223,203,2022-01-31,,Open,Urgent,Bug Report,Email
224,203,2022-01-25,2022-01-27,Resolved,High,Bug Report,Forum
225,204,2023-05-13,,In Progress,High,Billing Inquiry,Phone
226,204,2022-10-27,,Open,Medium,Billing Inquiry,Chat
227,205,2022-10-03,,Pending Customer Response,Urgent,Billing Inquiry,Email
228,207,2022-08-18,2022-08-24,Closed,Low,How-to Question,Chat
229,207,2022-02-03,2022-02-06,Closed,Medium,Technical Glitch,Phone
230,210,2022-04-26,2022-04-29,Closed,Urgent,Billing Inquiry,Email
231,211,2022-04-16,,In Progress,Urgent,Billing Inquiry,Phone
232,212,2022-03-05,2022-03-06,Resolved,Medium,Technical Glitch,Forum
233,212,2022-02-14,,Pending Customer Response,High,Billing Inquiry,Forum
234,214,2022-05-26,2022-05-27,Closed,High,Bug Report,Chat
235,214,2022-05-13,,In Progress,Urgent,Billing Inquiry,Forum
236,216,2022-12-03,,In Progress,Medium,Technical Glitch,Forum
237,216,2022-07-15,,Pending Customer Response,High,Bug Report,Phone
238,218,2022-03-16,2022-03-20,Closed,Medium,Bug Report,Phone
239,219,2022-01-31,,In Progress,Urgent,Technical Glitch,Email
240,220,2022-04-25,2022-05-02,Resolved,Urgent,Billing Inquiry,Email
241,220,2022-02-09,,Open,High,Technical Glitch,Phone
242,221,2022-03-08,2022-03-11,Resolved,Urgent,Bug Report,Phone
243,221,2022-01-27,2022-01-31,Closed,High,Technical Glitch,Phone
244,222,2022-11-30,,Open,Urgent,Bug Report,Chat
245,222,2023-01-03,2023-01-06,Resolved,High,Billing Inquiry,Forum
246,222,2023-01-13,,Open,Low,Billing Inquiry,Phone
247,223,2022-03-12,2022-03-14,Closed,Low,Password Reset,Forum
248,224,2022-01-25,,In Progress,High,How-to Question,Forum
249,225,2023-09-07,2023-09-14,Resolved,Medium,How-to Question,Phone
250,225,2022-08-16,,Open,Urgent,Bug Report,Email
251,226,2024-02-10,2024-02-13,Closed,Medium,How-to Question,Email
252,226,2024-05-12,,Pending Customer Response,Medium,Feature Request,Phone
253,227,2024-01-14,,In Progress,Medium,Billing Inquiry,Chat
254,227,2023-11-20,,Open,Medium,Technical Glitch,Forum
255,228,2022-06-10,,In Progress,Low,Technical Glitch,Phone
256,228,2022-06-18,,In Progress,High,Billing Inquiry,Forum
257,228,2022-06-22,,Pending Customer Response,Low,Technical Glitch,Forum
258,230,2023-10-16,,Pending Customer Response,Low,Feature Request,Email
259,230,2024-07-17,2024-07-21,Resolved,Low,Technical Glitch,Chat
260,230,2024-03-08,,Pending Customer Response,Urgent,How-to Question,Chat
261,231,2022-06-12,2022-06-15,Closed,Urgent,Technical Glitch,Email
262,231,2022-06-24,,In Progress,Low,Billing Inquiry,Chat
263,232,2023-07-26,2023-07-28,Resolved,Urgent,Password Reset,Email
264,232,2023-05-01,,In Progress,High,Bug Report,Chat
265,233,2022-05-04,,Open,Low,Feature Request,Chat
266,233,2024-06-26,2024-07-02,Closed,Low,Billing Inquiry,Phone
267,234,2022-02-04,,In Progress,Low,How-to Question,Chat
268,235,2022-03-08,,Pending Customer Response,Low,How-to Question,Chat
269,235,2022-05-31,2022-06-04,Resolved,High,Technical Glitch,Email
270,236,2022-07-05,,In Progress,High,How-to Question,Phone
271,236,2022-06-12,2022-06-19,Closed,Urgent,Password Reset,Forum
272,236,2022-05-23,,Pending Customer Response,High,Technical Glitch,Email
273,237,2022-04-18,,Pending Customer Response,Urgent,How-to Question,Forum
274,237,2022-10-24,,In Progress,Urgent,Billing Inquiry,Forum
275,238,2022-02-10,,Open,Low,Bug Report,Phone
276,242,2023-02-13,,Open,High,Technical Glitch,Phone
277,243,2022-06-25,,Open,Urgent,Technical Glitch,Email
278,243,2022-05-30,2022-06-03,Closed,Medium,How-to Question,Forum
279,245,2022-12-24,,In Progress,Urgent,How-to Question,Chat
280,247,2022-02-09,2022-02-13,Resolved,Medium,Password Reset,Forum
281,247,2022-03-17,,Open,High,How-to Question,Email
282,248,2022-04-08,2022-04-10,Closed,Low,Feature Request,Forum
283,248,2022-09-10,,Pending Customer Response,Medium,Feature Request,Phone
284,248,2022-05-31,2022-06-04,Closed,High,Bug Report,Email
285,249,2022-05-26,,Pending Customer Response,Medium,How-to Question,Chat
286,255,2023-03-27,,Pending Customer Response,Low,How-to Question,Forum
287,255,2023-04-19,2023-04-19,Closed,High,Password Reset,Email
288,256,2022-04-20,,In Progress,High,How-to Question,Email
289,257,2022-12-21,2022-12-28,Closed,Medium,How-to Question,Phone
290,258,2024-02-25,2024-03-03,Resolved,High,Billing Inquiry,Phone
291,259,2022-04-04,,Open,Medium,Password Reset,Chat
292,259,2022-10-13,2022-10-14,Closed,Urgent,Billing Inquiry,Forum
293,261,2022-11-11,2022-11-14,Closed,Urgent,How-to Question,Email
294,262,2022-06-23,2022-06-30,Closed,Low,Feature Request,Chat
295,264,2022-09-15,,Open,Urgent,Bug Report,Phone
296,264,2022-10-26,2022-10-28,Closed,Urgent,Billing Inquiry,Forum
297,264,2022-11-22,,Pending Customer Response,Medium,Feature Request,Email
298,265,2022-04-03,,Open,Low,Feature Request,Chat
299,266,2022-05-11,,In Progress,Medium,Billing Inquiry,Forum
300,267,2022-05-08,,In Progress,Medium,Feature Request,Chat
301,268,2022-01-30,2022-02-06,Closed,Low,Bug Report,Email
302,268,2022-02-03,,Open,Medium,Feature Request,Phone
303,269,2022-07-19,,Open,High,Feature Request,Phone
304,269,2022-08-12,,Pending Customer Response,Medium,Technical Glitch,Phone
305,271,2022-02-01,2022-02-06,Resolved,Medium,How-to Question,Phone
306,272,2022-05-03,,Open,Low,Bug Report,Chat
307,272,2022-07-21,2022-07-23,Resolved,High,Bug Report,Chat
308,274,2022-11-02,2022-11-05,Resolved,Medium,Bug Report,Chat
309,275,2022-02-01,,Open,Medium,Billing Inquiry,Chat
310,276,2022-01-29,2022-01-30,Resolved,High,How-to Question,Phone
311,277,2022-09-18,,In Progress,Urgent,Technical Glitch,Email
312,277,2023-07-22,2023-07-28,Closed,Urgent,Billing Inquiry,Chat
313,279,2022-03-10,,In Progress,Medium,Feature Request,Forum
314,279,2022-02-15,,Open,High,Billing Inquiry,Email
315,280,2022-05-03,2022-05-04,Closed,Low,Bug Report,Email
316,281,2022-11-07,,In Progress,Medium,Password Reset,Phone
317,283,2022-04-23,,Pending Customer Response,High,Password Reset,Email
318,284,2022-02-10,,In Progress,High,Billing Inquiry,Phone
319,285,2022-01-30,,In Progress,High,Technical Glitch,Email
320,288,2022-03-06,2022-03-06,Resolved,Medium,Billing Inquiry,Email
321,288,2022-04-18,,Open,Medium,Feature Request,Email
322,292,2022-04-26,2022-04-26,Closed,Low,Technical Glitch,Phone
323,293,2022-10-12,,Open,High,Bug Report,Phone
324,294,2022-02-22,,Pending Customer Response,Low,Technical Glitch,Chat
325,296,2023-06-08,2023-06-12,Closed,Urgent,Password Reset,Phone
326,296,2023-02-09,2023-02-14,Resolved,Urgent,Password Reset,Email
327,297,2022-02-17,,In Progress,Low,Billing Inquiry,Email
328,297,2022-05-13,,Pending Customer Response,Urgent,Billing Inquiry,Chat
329,297,2023-04-09,2023-04-15,Closed,Medium,Password Reset,Chat
330,298,2022-02-28,2022-03-06,Closed,Urgent,Billing Inquiry,Phone
331,299,2022-06-12,2022-06-18,Closed,High,Password Reset,Phone
332,300,2022-02-26,,Pending Customer Response,Medium,Billing Inquiry,Phone
333,302,2022-03-21,,Open,High,Feature Request,Email
334,304,2023-03-20,,Pending Customer Response,Medium,How-to Question,Email
335,304,2022-04-10,2022-04-15,Closed,Medium,Feature Request,Forum
336,304,2022-11-10,,Open,Medium,Billing Inquiry,Email
337,305,2022-09-08,,Pending Customer Response,Urgent,Billing Inquiry,Chat
338,305,2022-12-24,,Pending Customer Response,Medium,Technical Glitch,Chat
339,305,2022-08-06,,Open,Urgent,Bug Report,Email
340,306,2022-04-29,2022-05-03,Closed,Low,Bug Report,Phone
341,307,2024-10-13,2024-10-16,Resolved,Urgent,Bug Report,Email
342,307,2023-12-25,2023-12-31,Closed,High,Password Reset,Chat
343,308,2022-05-23,,Open,Low,How-to Question,Forum
344,309,2022-09-24,,Open,Low,Technical Glitch,Phone
345,309,2022-11-23,,Pending Customer Response,High,Technical Glitch,Phone
346,310,2022-07-01,,In Progress,Urgent,Password Reset,Chat
347,311,2022-06-03,,In Progress,Medium,Technical Glitch,Email
348,312,2022-04-02,,Open,Medium,Billing Inquiry,Phone
349,312,2022-03-18,,Pending Customer Response,Low,Billing Inquiry,Phone
350,312,2022-05-08,,In Progress,High,How-to Question,Email
351,313,2022-07-07,,In Progress,Urgent,How-to Question,Email
352,314,2023-05-21,2023-05-25,Closed,High,Password Reset,Email
353,314,2023-01-09,,Pending Customer Response,High,Bug Report,Email
354,316,2022-02-10,,Pending Customer Response,Low,Billing Inquiry,Chat
355,316,2022-03-15,2022-03-19,Closed,Low,Password Reset,Forum
356,317,2022-02-06,,Open,Low,Billing Inquiry,Chat
357,317,2022-02-11,2022-02-15,Resolved,High,Technical Glitch,Chat
358,318,2022-02-09,2022-02-12,Closed,High,How-to Question,Forum
359,319,2023-10-12,,Pending Customer Response,High,How-to Question,Forum
360,322,2022-02-26,,Open,Low,Bug Report,Phone
361,323,2022-07-03,2022-07-09,Resolved,Low,Password Reset,Forum
362,324,2022-07-31,,In Progress,Low,Feature Request,Forum
363,325,2022-02-14,,In Progress,Low,Feature Request,Forum
364,326,2022-08-21,2022-08-26,Resolved,Medium,How-to Question,Chat
365,326,2022-05-14,,Pending Customer Response,High,How-to Question,Forum
366,327,2022-02-23,,In Progress,Urgent,Billing Inquiry,Forum
367,329,2022-03-09,,In Progress,Urgent,Technical Glitch,Email
368,330,2022-02-13,,Pending Customer Response,Urgent,Feature Request,Chat
369,330,2022-02-11,,Pending Customer Response,Urgent,Technical Glitch,Chat
370,330,2022-02-10,,Open,Urgent,Password Reset,Forum
371,331,2022-05-23,,Open,High,Bug Report,Email
372,331,2022-04-19,,In Progress,Urgent,Billing Inquiry,Chat
373,333,2022-06-28,2022-07-04,Closed,Urgent,Password Reset,Email
374,333,2022-07-28,2022-08-03,Closed,Medium,Billing Inquiry,Forum
375,333,2022-04-10,2022-04-12,Resolved,Low,Billing Inquiry,Email
376,334,2022-11-07,,Pending Customer Response,Urgent,Bug Report,Forum
377,334,2022-02-28,,In Progress,Urgent,Technical Glitch,Email
378,335,2022-12-19,2022-12-20,Resolved,Medium,Password Reset,Chat
379,336,2022-02-22,,Open,Low,Feature Request,Chat
380,336,2022-02-24,,Open,Urgent,Billing Inquiry,Phone
381,336,2022-02-11,,Pending Customer Response,Medium,Password Reset,Chat
382,337,2022-02-10,2022-02-16,Resolved,Medium,Technical Glitch,Phone
383,337,2022-02-10,,In Progress,Medium,Feature Request,Phone
384,337,2022-02-09,2022-02-15,Closed,High,How-to Question,Chat
385,339,2022-02-07,,Open,High,How-to Question,Chat
386,341,2024-01-16,2024-01-21,Resolved,Low,Bug Report,Phone
387,342,2022-10-24,2022-10-31,Closed,Urgent,Billing Inquiry,Chat
388,342,2022-07-04,,Open,Low,Bug Report,Phone
389,343,2022-05-23,2022-05-30,Resolved,Urgent,Technical Glitch,Email
390,344,2023-01-01,2023-01-01,Closed,High,Feature Request,Phone
391,344,2022-05-07,,In Progress,Low,Feature Request,Chat
392,344,2022-09-19,2022-09-22,Resolved,Low,Password Reset,Chat
393,345,2022-08-02,,Open,Low,Feature Request,Email
394,346,2022-08-22,,In Progress,Urgent,Feature Request,Phone
395,346,2022-08-27,,Open,Low,Password Reset,Phone
396,347,2022-08-20,2022-08-26,Closed,Urgent,How-to Question,Email
397,347,2023-11-15,2023-11-20,Closed,High,Password Reset,Chat
398,348,2022-05-15,2022-05-21,Closed,High,Feature Request,Email
399,350,2023-11-27,,Pending Customer Response,High,Technical Glitch,Chat
400,350,2022-11-01,,In Progress,Low,Bug Report,Email
401,351,2022-03-25,,Pending Customer Response,High,How-to Question,Forum
402,351,2022-02-25,2022-03-03,Resolved,Low,Bug Report,Phone
403,353,2022-02-11,,Pending Customer Response,Low,Feature Request,Forum
404,353,2022-03-06,,In Progress,High,Password Reset,Phone
405,353,2022-02-14,,Open,High,Password Reset,Phone
406,355,2022-02-23,,In Progress,Urgent,Password Reset,Forum
407,357,2023-03-22,2023-03-25,Closed,Urgent,Feature Request,Phone
408,361,2022-02-23,2022-02-26,Resolved,Low,Billing Inquiry,Chat
409,361,2022-03-14,,In Progress,Urgent,Technical Glitch,Forum
410,361,2022-02-18,,Open,Low,How-to Question,Chat
411,362,2022-06-29,,Open,Urgent,How-to Question,Email
412,362,2022-11-02,2022-11-08,Closed,Low,Technical Glitch,Chat
413,362,2022-11-22,,Pending Customer Response,Low,Bug Report,Email
